id,fid,queimada,latitude,longitude,epsg,swir22_last,nir08_last,ndvi_last
867418,867418,1,-15.972783878265563,-47.43933454463546,4326,2522,1554,1849
868416,868416,1,-15.97279492889419,-47.438359908970334,4326,2474,1573,1822
869414,869414,1,-15.972805975116708,-47.43738527254168,4326,2475,1712,2120
870412,870412,1,-15.972817016933098,-47.436410635349816,4326,2122,2293,3354
871412,871412,1,-15.971711761946684,-47.43542249214333,4326,2365,1637,2076
872410,872410,1,-15.971722794139794,-47.43444785881759,4326,2358,1576,1957
873412,873412,1,-15.969501233510314,-47.43344623899716,4326,2248,1189,2083
874411,874411,1,-15.968954107682537,-47.43246487185897,4326,2025,1095,2066
895491,895491,1,-15.901089244281913,-47.41118388120045,4326,1898,1368,1742
901725,901725,1,-15.763845520329316,-47.40371303507245,4326,1946,1369,1314
934759,934759,1,-15.70837951908999,-47.370934667885535,4326,2258,2266,1882
949165,949165,1,-16.023353060398755,-47.35999522144952,4326,2174,2725,2930
962656,962656,1,-15.734909027617594,-47.3439791079993,4326,2256,2698,2183
917535,917535,0,-15.85220851345312,-47.38916953510935,4326,1966,2712,4811
918161,918161,0,-16.05985706300113,-47.39065736510914,4326,2990,3295,2846
919159,919159,0,-16.059867950606467,-47.3896822707343,4326,3041,3347,2765
920157,920157,0,-16.05987883376937,-47.388707176544045,4326,2933,3110,2896
921155,921155,0,-16.05988971250026,-47.387732081604575,4326,830,2837,7378
922153,922153,0,-16.05990058679911,-47.3867569859162,4326,705,2520,7542
923151,923151,0,-16.059911456665922,-47.385781889479226,4326,904,1995,6272
924149,924149,0,-16.059922322100665,-47.38480679229395,4326,632,2420,7651
925147,925147,0,-16.05993318310333,-47.38383169436068,4326,391,1620,6371
926145,926145,0,-16.0599440396739,-47.38285659567972,4326,1085,2543,6285
927143,927143,0,-16.059954891812367,-47.38188149625137,4326,2319,3521,4132
928141,928141,0,-16.059965739518702,-47.38090639607594,4326,1276,3488,5679
929139,929139,0,-16.059976582792906,-47.37993129515375,4326,2226,3021,3769
930137,930137,0,-16.059987421634954,-47.378956193485074,4326,2490,2740,2888
931135,931135,0,-16.059998256044825,-47.37798109107024,4326,2451,2710,2792
932133,932133,0,-16.060009086022518,-47.37700598790955,4326,2099,3313,3402
933131,933131,0,-16.060019911578376,-47.37603088306918,4326,3137,3521,2302
934129,934129,0,-16.060030732691644,-47.37505577841768,4326,1718,2755,4201
935127,935127,0,-16.06004154937268,-47.37408067302123,4326,2591,3524,3240
936125,936125,0,-16.060052361621477,-47.37310556688015,4326,3227,3647,2383
937123,937123,0,-16.060063169438013,-47.372130459994736,4326,3196,3534,2391
938121,938121,0,-16.06007397282227,-47.37115535236529,4326,3225,3545,2475
939119,939119,0,-16.060084771774232,-47.37018024399213,4326,3220,3671,2362
940117,940117,0,-16.060095566293892,-47.36920513487553,4326,983,3196,6781
941115,941115,0,-16.06010635638123,-47.36823002501583,4326,520,3333,8542
942113,942113,0,-16.06011714203623,-47.36725491441332,4326,2372,3507,4104
943111,943111,0,-16.06012792325888,-47.366279803068295,4326,2255,2368,3010
944109,944109,0,-16.060138700049166,-47.36530469098108,4326,2288,2519,3143
945107,945107,0,-16.06014947240706,-47.36432957815196,4326,2379,2738,3153
946105,946105,0,-16.06016024033256,-47.36335446458126,4326,1081,2742,6508
947103,947103,0,-16.06017100383597,-47.36237934933514,4326,960,2479,6245
948101,948101,0,-16.060181762896622,-47.361404234282176,4326,2342,2955,3310
949099,949099,0,-16.06019251752484,-47.36042911848853,4326,2518,2985,2874
950097,950097,0,-16.060203267720592,-47.359454001954525,4326,2605,2971,2795
951095,951095,0,-16.06021401348388,-47.35847888468045,4326,2837,3183,2726
952093,952093,0,-16.06022475481468,-47.35750376666661,4326,2844,3291,2855
953091,953091,0,-16.060235491712973,-47.35652864791332,4326,2024,2642,3493
954089,954089,0,-16.06024622417875,-47.35555352842088,4326,2086,2900,3650
955087,955087,0,-16.06025695221199,-47.3545784081896,4326,1015,2800,6568
956085,956085,0,-16.060267675812685,-47.35360328721978,4326,1480,2086,2968
957083,957083,0,-16.060278394980816,-47.352628165511724,4326,2688,2590,2350
958081,958081,0,-16.060289109716372,-47.35165304306574,4326,1300,2538,5613
959079,959079,0,-16.060299820019335,-47.35067791988213,4326,2029,2431,3382
960077,960077,0,-16.060310525889687,-47.3497027959612,4326,2793,2741,2745
961075,961075,0,-16.06032122733766,-47.34872767036912,4326,2784,2856,2807
962073,962073,0,-16.060331924342748,-47.34775254497446,4326,2836,3091,2256
963071,963071,0,-16.06034261691518,-47.3467774188434,4326,2276,3425,3397
964069,964069,0,-16.060353305054942,-47.34580229197625,4326,1126,2975,6319
965067,965067,0,-16.060363988762024,-47.34482716437329,4326,2057,3046,3789
966065,966065,0,-16.060374668036406,-47.34385203603485,4326,993,2612,6469
967063,967063,0,-16.060385342878078,-47.34287690696124,4326,1470,2908,5141
968061,968061,0,-16.060396013287015,-47.341901777152735,4326,1639,2532,3805
969059,969059,0,-16.060406679263213,-47.34092664660966,4326,1821,2693,3388
970057,970057,0,-16.060417340806648,-47.33995151533231,4326,2726,2683,2614
971055,971055,0,-16.060427997917312,-47.33897638332101,4326,2776,2482,2850
972053,972053,0,-16.06043865059519,-47.33800125057604,4326,2780,2488,2897
973051,973051,0,-16.060449298840265,-47.337026117097714,4326,2752,2499,2894
974049,974049,0,-16.060459942652514,-47.33605098288634,4326,2777,2539,2924
975047,975047,0,-16.060470582042132,-47.33507584700808,4326,2761,2541,2905
976045,976045,0,-16.060481216988702,-47.33410071133152,4326,2742,2569,2945
977043,977043,0,-16.06049184750241,-47.33312557492284,4326,2773,2589,2932
978041,978041,0,-16.060502473583234,-47.33215043778232,4326,2460,2871,2274
979039,979039,0,-16.06051309523117,-47.33117529991028,4326,2418,2810,2300
980037,980037,0,-16.060523712446194,-47.33020016130703,4326,2355,2719,2198
981035,981035,0,-16.060534325228303,-47.32922502197285,4326,2763,3068,1909
982033,982033,0,-16.060544933577468,-47.32824988190807,4326,2444,2804,2042
983031,983031,0,-16.060555537493684,-47.327274741112994,4326,2371,2734,2197
984029,984029,0,-16.06056613697693,-47.32629959958791,4326,2500,2808,1905
985027,985027,0,-16.060576732027197,-47.32532445733314,4326,2527,3027,2284
986025,986025,0,-16.06058732264447,-47.32434931434897,4326,2604,3235,2784
